16	0.4	0.555	21.3225	28.3532
16	0.405	0.515	21.3922	28.101
16	0.41	0.494	21.4251	28.2976
16	0.415	0.48	21.8542	27.8417
16	0.42	0.446	21.6166	27.8004
16	0.425	0.406	21.7833	27.5961
32	0.4	0.573	47.089	62.2234
32	0.405	0.501	47.6627	62.2675
32	0.41	0.5	47.452	61.728
32	0.415	0.416	48.3702	63.3966
32	0.42	0.358	48.5559	61.567
32	0.425	0.314	48.6911	62.2038
64	0.4	0.64	102.881	137.417
64	0.405	0.539	104.466	137.076
64	0.41	0.476	105.447	139.218
64	0.415	0.343	107.819	138.061
64	0.42	0.322	108.233	136.634
64	0.425	0.204	108.931	136.24
128	0.4	0.672	221.943	300.058
128	0.405	0.555	226.317	306.82
128	0.41	0.419	230.265	298.578
128	0.415	0.264	237.186	300.701
128	0.42	0.179	243.855	308.872
128	0.425	0.097	243.443	291
256	0.4	0.814	466.525	644.541
256	0.405	0.631	493.981	667.117
256	0.41	0.381	504.961	657.42
256	0.415	0.197	528.873	666.147
256	0.42	0.064	545.781	646.312
256	0.425	0.024	544.917	621.833
